"NODE_LOCATION","MACHINE_PROJECT_ID","FLEET_PROJECT_ID","CLUSTER_NAME","LOCATION","NODE_COUNT","EXTERNAL_LOAD_BALANCER_IPV4_ADDRESS_POOLS","SYNC_REPO","SYNC_BRANCH","SYNC_DIR","SECRETS_PROJECT_ID","GIT_TOKEN_SECRETS_MANAGER_NAME","ES_AGENT_SECRETS_MANAGER_NAME","CLUSTER_VERSION","MAINTENANCE_WINDOW_START","MAINTENANCE_WINDOW_END","MAINTENANCE_WINDOW_RECURRENCE","SUBNET_VLANS"
"us-central1-edge-den25349","cloud-alchemists-machines","cloud-alchemists-sandbox","lcp-den29","us-central1","1","172.17.34.96-172.17.34.100","https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo","main","/config/clusters/den29/meta","cloud-alchemists-machines","shyguy-internal-pat","external-secret-agent-key","1.6.1","2023-01-01T08:00:00Z","2023-01-01T17:00:00Z","FREQ=WEEKLY;BYDAY=SA","100,200"
"us-central1-edge-den59566","edgesites-baremetal-lab-qual","cloud-alchemists-sandbox","lcp-den84","us-central1","3","172.20.4.240-172.20.4.248","https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo","main","/config/clusters/den84/meta","cloud-alchemists-machines","shyguy-internal-pat","external-secret-agent-key","1.6.1","2023-01-01T08:00:00Z","2023-01-01T17:00:00Z","FREQ=WEEKLY;BYDAY=SA","100,200"

